Марка;Цена;Год;Пробег;Двигатель;Коробка;Привод
Volkswagen Tayron I Рестайлинг;2 790 000 ₽;2022;46 885 км;2.0 л / 220 л.с. / Бензин;робот;внедорожник 5 дв.
BMW 3 серии 320i VII (G2x);3 240 000 ₽;2021;46 000 км;2.0 л / 184 л.с. / Бензин;автомат;седан
Jeep Wrangler IV (JL);3 600 000 ₽;2021;51 715 км;2.0 л / 272 л.с. / Бензин;автомат;внедорожник 5 дв.
Toyota Land Cruiser Prado 5-speed 120 Series;2 600 000 ₽;2007;461 000 км;4.0 л / 249 л.с. / Бензин;автомат;внедорожник 5 дв.
Land Rover Range Rover Sport II;3 555 000 ₽;2013;175 000 км;3.0 л / 292 л.с. / Дизель;автомат;внедорожник 5 дв.
Honda CR-V V Рестайлинг;2 440 000 ₽;2021;38 000 км;1.5 л / 190 л.с. / Бензин;вариатор;внедорожник 5 дв.
BMW 1 серии 120i III (F52) Рестайлинг;1 880 000 ₽;2022;41 000 км;1.5 л / 136 л.с. / Бензин;робот;седан
BMW X3 25i xDrive III (G01) Рестайлинг;3 850 000 ₽;2022;32 000 км;2.0 л / 184 л.с. / Бензин;автомат;внедорожник 5 дв.
Mercedes-Benz GLC Coupe AMG 43 AMG I (C253) Рестайлинг;5 370 000 ₽;2021;36 000 км;3.0 л / 390 л.с. / Бензин;автомат;внедорожник 5 дв.
Hyundai Santa Fe IV Рестайлинг;5 000 000 ₽;2022;51 000 км;3.5 л / 249 л.с. / Бензин;автомат;внедорожник 5 дв.
Mercedes-Benz CLA 250 II (C118, X118);4 800 000 ₽;2021;33 500 км;2.0 л / 224 л.с. / Бензин;робот;седан
Toyota Corolla X (E140, E150);950 000 ₽;2008;385 900 км;1.6 л / 124 л.с. / Бензин;механика;седан
BMW 3 серии 320i xDrive VII (G2x);2 250 000 ₽;2020;29 000 км;2.0 л / 184 л.с. / Бензин;автомат;седан
BMW X2 sDrive25i I (F39);2 170 000 ₽;2022;41 000 км;2.0 л / 192 л.с. / Бензин;робот;внедорожник 5 дв.
Mercedes-Benz S-Класс 500 Long III (W140) Рестайлинг;1 599 999 ₽;1996;260 000 км;5.0 л / 320 л.с. / Бензин;автомат;седан
BMW 5 серии 530i xDrive VII (G30/G31) Рестайлинг;7 500 000 ₽;2021;52 329 км;2.0 л / 249 л.с. / Бензин;автомат;седан
BMW X1 Long 20Li sDrive II (F48) Рестайлинг;1 980 000 ₽;2021;39 650 км;1.5 л / 140 л.с. / Бензин;робот;внедорожник 5 дв.
Mitsubishi Lancer IX;440 000 ₽;2002;350 482 км;1.5 л / 90 л.с. / Бензин;вариатор;седан
SsangYong Kyron I Рестайлинг;850 000 ₽;2010;148 000 км;2.0 л / 141 л.с. / Дизель;механика;внедорожник 5 дв.
Audi Q5 I (8R);1 350 000 ₽;2008;268 900 км;2.0 л / 211 л.с. / Бензин;робот;внедорожник 5 дв.
Volkswagen Golf VIII;2 850 000 ₽;2022;42 500 км;2.0 л / 150 л.с. / Дизель;робот;хэтчбек 5 дв.
Renault Kaptur I;1 650 000 ₽;2019;90 000 км;2.0 л / 143 л.с. / Бензин;автомат;внедорожник 5 дв.
Toyota Land Cruiser 100 Series;1 000 000 ₽;1999;321 700 км;4.7 л / 235 л.с. / Бензин;автомат;внедорожник 5 дв.
Volvo 940;350 000 ₽;1993;410 000 км;2.3 л / 116 л.с. / Бензин;механика;седан
Toyota Mark II VII (X90);390 000 ₽;1993;493 565 км;2.0 л / 135 л.с. / Бензин;автомат;седан
Kia Sorento 4-speed I;560 000 ₽;2003;315 000 км;2.5 л / 140 л.с. / Дизель;автомат;внедорожник 5 дв.
Lexus ES 350 VI;2 970 000 ₽;2014;161 000 км;3.5 л / 249 л.с. / Бензин;автомат;седан
Toyota Passo III;1 069 000 ₽;2016;32 000 км;1.0 л / 69 л.с. / Бензин;вариатор;хэтчбек 5 дв.
